                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2265,                 1.6151,                 1.2741,                0.64498,                0.53262,                0.61432,                0.45607,                 1.0817,                 1.1202,                 1.1248,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.2232,                 1.5107,                 1.2665,                0.68339,                0.54249,                0.63135,                0.46978,                 1.0794,                 1.0965,                 1.1241,             1.7673e-05,             1.7673e-05,             1.7673e-05
                      3,                 1.2002,                 1.4202,                 1.2162,                0.69007,                0.55232,                0.64349,                 0.4795,                 1.0762,                 1.0729,                 1.1228,             2.6828e-05,             2.6828e-05,             2.6828e-05
                      4,                 1.2357,                 1.4704,                 1.2511,                0.69303,                 0.5759,                0.65611,                0.49026,                 1.0667,                 1.0502,                 1.1142,             3.5794e-05,             3.5794e-05,             3.5794e-05
                      5,                 1.1495,                 1.2764,                 1.2148,                0.69566,                0.60677,                0.67801,                0.50812,                 1.0515,                 1.0308,                 1.1036,             4.4572e-05,             4.4572e-05,             4.4572e-05
                      6,                 1.1091,                 1.3081,                 1.1917,                0.70109,                0.63108,                0.68902,                0.51378,                  1.038,                 1.0012,                 1.0928,             5.3161e-05,             5.3161e-05,             5.3161e-05
                      7,                 1.1131,                 1.1682,                 1.1911,                0.72184,                0.65133,                0.69389,                0.51765,                 1.0342,                0.97677,                 1.0908,             6.1562e-05,             6.1562e-05,             6.1562e-05
                      8,                 1.1257,                 1.1793,                 1.1987,                0.72413,                0.65917,                0.70501,                 0.5288,                 1.0252,                 0.9447,                 1.0883,             6.9775e-05,             6.9775e-05,             6.9775e-05
                      9,                 1.0503,                 1.1029,                 1.1457,                0.72485,                0.64673,                0.71065,                0.53111,                 1.0145,                0.91812,                 1.0832,             7.7798e-05,             7.7798e-05,             7.7798e-05
                     10,                  1.081,                 1.1584,                 1.1902,                0.73079,                0.64883,                 0.7169,                0.53715,                  1.013,                0.90308,                 1.0809,             8.5634e-05,             8.5634e-05,             8.5634e-05
                     11,                 1.0504,                 1.0776,                 1.1488,                0.73841,                0.66515,                0.72598,                0.54833,                 1.0128,                 0.8857,                  1.078,             9.3281e-05,             9.3281e-05,             9.3281e-05
                     12,                 1.0977,                 1.1214,                 1.1924,                 0.7785,                0.65911,                0.73696,                0.55841,                 1.0083,                0.86863,                 1.0724,             0.00010074,             0.00010074,             0.00010074
                     13,                 1.0468,                 1.0671,                 1.1485,                  0.782,                0.68264,                0.75187,                0.56696,                0.99879,                0.84424,                  1.068,             0.00010486,             0.00010486,             0.00010486
