                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1347,                 1.4326,                 1.2358,                 0.6574,                0.53408,                0.61542,                0.45739,                 1.0844,                 1.1279,                 1.1263,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                  1.109,                 1.3404,                  1.237,                0.67557,                0.55017,                0.62929,                0.46763,                 1.0794,                 1.0951,                 1.1218,             1.7673e-05,             1.7673e-05,             1.7673e-05
                      3,                 1.1929,                 1.3855,                 1.2344,                0.67622,                0.57211,                0.64678,                0.48148,                 1.0698,                 1.0688,                 1.1162,             2.6828e-05,             2.6828e-05,             2.6828e-05
                      4,                 1.1577,                 1.2995,                 1.2162,                0.68054,                0.59554,                0.66561,                0.49242,                 1.0627,                 1.0425,                 1.1092,             3.5794e-05,             3.5794e-05,             3.5794e-05
                      5,                 1.1074,                 1.2317,                 1.2044,                 0.6742,                0.62513,                0.67813,                0.50462,                 1.0535,                 1.0145,                 1.1019,             4.4572e-05,             4.4572e-05,             4.4572e-05
                      6,                 1.1184,                   1.23,                  1.203,                0.68613,                0.63829,                0.68647,                0.51429,                 1.0397,                0.98794,                 1.0949,             5.3161e-05,             5.3161e-05,             5.3161e-05
                      7,                 1.0817,                 1.1614,                 1.1708,                0.73067,                0.61366,                0.69486,                0.52253,                  1.034,                0.96835,                 1.0906,             6.1562e-05,             6.1562e-05,             6.1562e-05
                      8,                 1.1107,                 1.1634,                 1.1839,                 0.7843,                0.60076,                0.70616,                0.53109,                 1.0281,                0.95021,                 1.0848,             6.9775e-05,             6.9775e-05,             6.9775e-05
                      9,                 1.0868,                 1.1681,                 1.1745,                0.77458,                0.62667,                0.72365,                0.54495,                 1.0156,                 0.9213,                 1.0787,             7.7798e-05,             7.7798e-05,             7.7798e-05
                     10,                 1.0971,                 1.1446,                 1.1774,                0.78491,                0.63625,                0.74286,                0.55557,                 1.0091,                0.89822,                 1.0737,             8.5634e-05,             8.5634e-05,             8.5634e-05
                     11,                 1.0788,                 1.1178,                 1.1597,                0.74875,                0.67588,                0.76161,                0.57408,                0.99701,                0.86971,                 1.0679,             9.3281e-05,             9.3281e-05,             9.3281e-05
                     12,                 1.0309,                 1.0225,                 1.1429,                0.77108,                0.67648,                0.76879,                0.58459,                0.99019,                0.85045,                 1.0619,             0.00010074,             0.00010074,             0.00010074
                     13,                 1.0309,                 1.0175,                 1.1389,                  0.727,                 0.7116,                0.77438,                0.58846,                0.98255,                0.82692,                 1.0572,             0.00010486,             0.00010486,             0.00010486
                     14,                 1.0242,                 1.0195,                 1.1635,                 0.7513,                 0.6942,                0.78245,                0.59646,                0.97055,                0.80347,                 1.0504,             0.00010486,             0.00010486,             0.00010486
                     15,                 1.0331,                 1.0585,                 1.1404,                0.77398,                0.71319,                0.79424,                0.60567,                0.96225,                0.79053,                 1.0466,             0.00010368,             0.00010368,             0.00010368
                     16,                 1.0413,                 1.0348,                 1.1526,                0.76385,                0.73565,                0.78778,                 0.6133,                0.95368,                0.77938,                 1.0416,             0.00010251,             0.00010251,             0.00010251
